 Device e/o servizi ;OPEX; Caratteristiche ;;;Modello (ove disponibile) ;;; Costo Anno 1 ; Costo Anno 2; Costo Anno 3; Costo Anno 4; Costo Anno 5; Costo Anno 6;TOTALE;;IVA;1,22
;o;CPU ; RAM ;Tera;;peso;Quantità;;;;;;;;;;
;CAPEX;;;byte ;;;;;;;;;;;;;
Infrastrutture/Verifica e test di esercibilità, manuali di esercibilità ;OPEX;;;;Test esercibilità  - 490 € /gg;;0;0,00 €;;;;;;;;;
Test Factory/ Governance dei test, NRT, Predisposizone Test ;CAPEX;;;;;;;;;;;;;;;;
;;;;;;;;Costo Progettuale;;;;;;;;;
Totale Attività Progettuali Investimento ;CAPEX ;;;;;;;0,00 €;;;;;;;;;
Totale Oneri One-Off;OPEX;;;;;;;0,00 €;;;;;;;;;
"Catalogo Componenti CLOUD
Costi di Gestione ACN";;;;;AWS - GCP - Azure;;;Costo Anno 1;Costo Anno 2;Costo Anno 3;Costo Anno 4;Costo Anno 5;Costo Anno 6;;;;
Kubernetes Cluster;OPEX;;;;N° di cluster moltiplicato per ogni ambiente;;1;3.944,31 €;3.944,31 €;;;;;7.888,62 €;;;
Middleware Kubernates - gestione NameSpace;OPEX;;;;Numero Namespace moltiplicato per ogni ambiente rilasciato;;1;251,63 €;251,63 €;;;;;503,25 €;;;
Middleware Kubernates - gestione Pod Deployment;OPEX;;;;Numero Pod Deployment moltiplicato per ogni ambiente rilasciato;;1;114,38 €;114,38 €;;;;;228,75 €;;;
VM - EC2 - Compute Engine - VMs;OPEX;;;;N° di VM;;1;693,88 €;693,88 €;;;;;1.387,75 €;;;
Storage Object Based Storage;OPEX;;;;N° di OBS;;1;0,00 €;0,00 €;;;;;0,00 €;;;
Storage Disks;OPEX;;;;N° di dischi;;1;0,00 €;0,00 €;;;;;0,00 €;;;
Database - PostgreSql - EDB on Microservice;OPEX;;;;N° di istanze (DB Engine);;1;655,75 €;655,75 €;;;;;1.311,50 €;;;
Database - PostgreSql - PaaS;OPEX;;;;N° di risorsa cloud;;1;655,75 €;655,75 €;;;;;1.311,50 €;;;
Database - SQL Server - IaaS;OPEX;;;;N° di istanze (DB Engine) n° VM;;1;762,50 €;762,50 €;;;;;1.525,00 €;;;
Database - SQL Server - PaaS;OPEX;;;;N° di istanze (DB Engine) RDS - Cloud SQL - SQL Database - ;;1;655,75 €;655,75 €;;;;;1.311,50 €;;;
Database - MySQL - IaaS;OPEX;;;;n° VM;;1;761,79 €;761,79 €;;;;;1.523,58 €;;;
Database - MySQL - PaaS;OPEX;;;;RDS, Aurora - CloudSQL, AlloyDB - DB for MySQL;;1;655,75 €;655,75 €;;;;;1.311,50 €;;;
Networking;OPEX;;;;N° di VNet ;;1;244,00 €;244,00 €;;;;;488,00 €;;;
CISCO MCD - WAF & Firewall;OPEX;;;;N° di appliance;;1;16.124,44 €;16.124,44 €;;;;;32.248,87 €;;;
F5 - WAF;OPEX;;;;N° di appliance;;1;10.293,75 €;10.293,75 €;;;;;20.587,50 €;;;
F5 - API;OPEX;;;;N° di Istanze;;1;3.483,41 €;3.483,41 €;;;;;6.966,81 €;;;
Middleware;OPEX;;;;N° di istanze;;1;1.502,13 €;1.502,13 €;;;;;3.004,25 €;;;
Monitoring;OPEX;;;;N° di istanze;;1;0,00 €;0,00 €;;;;;0,00 €;;;
Security Management;OPEX;;;;N° di organization;;1;9.882,00 €;9.882,00 €;;;;;19.764,00 €;;;
Database - NoSQL - PaaS;OPEX;;;;N° di istanze (DB Engine);;1;0,00 €;0,00 €;;;;;0,00 €;;;
Storage;OPEX;;;;SMB file share;;1;0,00 €;0,00 €;;;;;0,00 €;;;
;;;;;;;; Costo Anno 1 ; Costo Anno 2; Costo Anno 3; Costo Anno 4; Costo Anno 5; Costo Anno 6;TOTALE;;;
TOTALE RUNNING ACN CLOUD;OPEX ;;;;;;;50.681,19 €;50.681,19 €;0,00 €;0,00 €;0,00 €;0,00 €;101.362,38 €;;;
